input,ans1,ans2,ans3,length
"Who is Hermann Ii, Count Palatine Of Lotharingia's paternal grandfather?",FALSE,FALSE,FALSE,"2,521"
Where was the director of film Requiem For Dominic born?,FALSE,FALSE,FALSE,"2,873"
What is the place of birth of Ibrahim Ibn Muhammad's mother?,TRUE,TRUE,TRUE,"3,618"
"Which film has the director died earlier, Kadamba (1983 Film) or Mickey'S Tent Show?",TRUE,FALSE,FALSE,"2,858"
"Who was born first, Damien Hétu or Matan Cohen?",FALSE,FALSE,FALSE,"3,977"
Do director of film Happy Days (1929 Film) and director of film Hero (1982 Film) share the same nationality?,FALSE,FALSE,FALSE,"3,470"
"Which film has the director who is older than the other, A Hungarian Fairy Tale or The Hero Of My Dreams? ",FALSE,FALSE,FALSE,"2,951"
Are both Flying Fifty-Five and Approaching Midnight from the same country?,FALSE,FALSE,FALSE,"2,258"
What is the place of birth of Anne Elizabeth Rector's husband?,FALSE,FALSE,FALSE,"3,648"
Was Bronisław Dembowski or Carlo Delle Piane born first?,TRUE,TRUE,TRUE,"3,074"
"Which film has the director who was born later, Alludugaru or The Laughing Woman?",FALSE,FALSE,FALSE,"3,566"
Who is the father of the director of film Kajraare?,FALSE,FALSE,FALSE,"2,854"
"Which film has the director died earlier, The Coca-Cola Kid or Ayul Kaithi?",TRUE,TRUE,TRUE,"3,885"
"Who lived longer, Ole Arntzen or Harry Albert Willis?",TRUE,TRUE,TRUE,"2,990"
"Which film came out earlier, Olavina Udugore or A Pearl In The Forest?",TRUE,TRUE,TRUE,"3,225"
"Which song was released first, L'Histoire D'Une Fée, C'Est... or I Can Change (Lcd Soundsystem Song)?",TRUE,TRUE,TRUE,"2,424"
What is the place of birth of the director of film Sweepstakes (Film)?,FALSE,FALSE,FALSE,"3,279"
Where was the director of film En Aasai Rasave born?,FALSE,FALSE,FALSE,"2,701"
Where did the director of film The Eagle'S Eye study?,FALSE,FALSE,FALSE,"2,652"
"Who is Stephen, Count Palatine Of Simmern-Zweibrücken's maternal grandmother?",TRUE,TRUE,TRUE,"2,422"
"What is the place of birth of the composer of film Yandé Codou, La Griotte De Senghor?",FALSE,FALSE,FALSE,"1,960"
