input,ans1,ans2,ans3,length
Where was the wife of Francis I Rákóczi born?,TRUE,TRUE,TRUE,"4,696"
Who is Sobe (Sister Of Saint Anne)'s grandchild?,FALSE,FALSE,FALSE,"4,776"
Where does the director of film Man At Bath work at?,FALSE,FALSE,FALSE,"4,274"
Do both Beauty And The Bad Man and Wild Child (Film) films have the directors from the same country?,FALSE,FALSE,FALSE,"8,125"
"What is the date of birth of William Paulet, 3Rd Marquess Of Winchester's father?",FALSE,FALSE,FALSE,"4,621"
"Who is Edward Watson, Viscount Sondes's paternal grandfather?",TRUE,TRUE,TRUE,"4,625"
"What is the date of death of Humphrey De Bohun, 7Th Earl Of Hereford's father?",FALSE,FALSE,FALSE,"5,001"
Who is Helmichis's father-in-law?,FALSE,FALSE,FALSE,"7,639"
Where did Helena Carroll's father study?,TRUE,TRUE,TRUE,"3,964"
Where does the director of film Wine Of Morning work at?,TRUE,TRUE,TRUE,"5,162"
"Which film has the director who was born earlier, The Secret Invasion or The House Of The Seven Hawks?",TRUE,TRUE,TRUE,"10,338"
"Who is the paternal grandmother of Marie Of Brabant, Queen Of France?",FALSE,FALSE,FALSE,"3,596"
"Who is Renaud Ii, Count Of Soissons's uncle?",FALSE,FALSE,FALSE,"1,280"
When did William Le Poer Trench's father die?,FALSE,FALSE,FALSE,"3,432"
Which country the director of film Renegade Force is from?,FALSE,FALSE,FALSE,"4,442"
Who is the spouse of the director of film Emergency Wedding?,FALSE,FALSE,FALSE,"10,444"
"Which film came out earlier, Indradhanura Chhai or The Death Of Black King?",TRUE,TRUE,TRUE,"1,696"
Do both films The Reincarnation Of Golden Lotus and I'Ll Get By (Film) have the directors from the same country?,TRUE,TRUE,TRUE,"5,932"
"Are both villages, Rhosgoch and Qaleh-Ye Sahar, located in the same country?",TRUE,TRUE,TRUE,535
Where was the director of film Kanneshwara Rama born?,FALSE,FALSE,FALSE,"3,532"
Where was the place of death of Randi Monsen's father?,FALSE,FALSE,FALSE,"2,782"
Where did the performer of song I'Ll Say It graduate from?,FALSE,FALSE,FALSE,"7,578"
"Which film has the director who was born first, Hell Up In Harlem or The Soviet Story?",FALSE,FALSE,TRUE,"9,013"
"Who was born first, Cipriano Castro or Damir Nikšić?",TRUE,TRUE,TRUE,"6,026"
"Which film has the director who died first, The Year Of The Rabbit or Monster On The Campus?",TRUE,TRUE,TRUE,"6,192"
"Who is younger, Guy Arvely Dolsin or Altuğ Çelikbilek?",TRUE,TRUE,TRUE,889
"Which song came out first, Joel The Lump Of Coal or Jugband Blues?",TRUE,TRUE,TRUE,"3,517"
Are both Open Mobile and Primestar located in the same country?,FALSE,FALSE,FALSE,"4,141"
Who is the paternal grandfather of Baldwin I Rátót?,FALSE,FALSE,FALSE,"3,948"
What is the place of birth of Ratna Malla's father?,FALSE,FALSE,FALSE,"4,625"
"Who is Archibald Acheson, 4Th Earl Of Gosford's paternal grandfather?",FALSE,FALSE,FALSE,"4,383"
Who is the paternal grandfather of Mark Getty?,FALSE,FALSE,FALSE,"5,464"
Where did the performer of song Fantasy (George Michael Song) die?,FALSE,FALSE,FALSE,"11,686"
Do director of film Betrayal (1932 Film) and director of film The Godsend (Film) share the same nationality?,FALSE,TRUE,TRUE,"3,122"
"Which film whose director was born first, The Abduction Club or Wooden Crosses?",TRUE,TRUE,TRUE,"4,154"
"Which film came out earlier, Above Rubies or The Magic Aster?",TRUE,TRUE,TRUE,"3,299"
"Which film has the director who is older than the other, Blue Blood And Red or The Longshot? ",TRUE,TRUE,TRUE,"4,436"
What is the place of birth of the director of film Clowning Around?,FALSE,FALSE,FALSE,"2,896"
"Who was born later, Paul De Scherff or Lyudmyla Olyanovska?",TRUE,TRUE,TRUE,"6,416"
Where was the place of death of Kamures Kadın's husband?,FALSE,FALSE,FALSE,"4,769"
What is the place of birth of Bernard (Son Of Charles The Fat)'s father?,FALSE,FALSE,FALSE,"4,957"
"Which film has the director who died first, Tex And The Lord Of The Deep or Henry Goes Arizona?",FALSE,TRUE,FALSE,"2,540"
Which country the performer of song I Believe In Your Sweet Love is from?,FALSE,FALSE,FALSE,"8,759"
"Which film whose producer was born first, All-American Co-Ed or Lagu Kenangan?",TRUE,FALSE,TRUE,"5,527"
What is the place of birth of the director of film A Chrysanthemum Bursts In Cincoesquinas?,TRUE,TRUE,TRUE,"3,859"
Who is the mother-in-law of Louise Of Mecklenburg-Güstrow?,FALSE,FALSE,FALSE,"5,695"
Where was the place of death of Agnes Of Hohenstaufen's husband?,FALSE,FALSE,FALSE,"3,954"
Who is Marcus Annius Libo's aunt?,FALSE,FALSE,FALSE,"3,690"
"Which film was released more recently, Bajo Otro Sol or Riding The California Trail?",TRUE,TRUE,TRUE,"1,120"
Who is the mother of the director of film Dalida (2017 Film)?,TRUE,TRUE,TRUE,"3,219"
Who is the spouse of the director of film Streets Of Blood?,FALSE,FALSE,FALSE,"10,498"
When is Henrietta Maria Of Brandenburg-Schwedt's father's birthday?,TRUE,TRUE,TRUE,"4,570"
"Where was the place of death of Sancha Of Castile, Queen Of Navarre's mother?",TRUE,TRUE,TRUE,"3,496"
"Which film was released more recently, Dance With A Stranger or Miley Naa Miley Hum?",TRUE,TRUE,TRUE,"3,934"
"Which film has the director who is older, Space Probe Taurus or Tom Mix In Arabia?",TRUE,TRUE,FALSE,"3,324"
"Which film has the director died later, Seven In The Sun or Daughter Of The Jungle?",TRUE,TRUE,TRUE,"2,708"
"Which film was released first, Vacations In Majorca or Dr. Socrates?",TRUE,TRUE,TRUE,"4,218"
"Which film has the director born later, Woman In The Moon or Changeland?",TRUE,TRUE,FALSE,"6,736"
"Who is younger, Peter Rosegger or Ruel Redinger?",TRUE,TRUE,TRUE,"2,046"
Who is Pyotr Karatygin's sibling-in-law?,FALSE,FALSE,FALSE,"2,898"
Who is the spouse of the performer of song This Time (Waylon Jennings Song)?,TRUE,FALSE,FALSE,"7,833"
Are Twin Cairns Island and Nova Zembla Island located in the same country?,FALSE,FALSE,FALSE,"2,351"
"Who died first, Erich Haenisch or William Pooley?",TRUE,TRUE,TRUE,"2,189"
What nationality is the performer of song You Can?,FALSE,FALSE,FALSE,"4,845"
Do Nick Varner and Carl Duser share the same nationality?,FALSE,FALSE,FALSE,"1,412"
"Which film has the director who died earlier, Melody Of The World or Ladies Love Danger?",TRUE,TRUE,TRUE,"4,784"
Where was the place of death of the composer of film Miracle Of Marcelino?,TRUE,TRUE,TRUE,"2,868"
Who is the mother of the director of film Atomised (Film)?,FALSE,FALSE,FALSE,"3,211"
"Which film has the director who died later, The Great Man'S Lady or La Belle Américaine?",TRUE,TRUE,TRUE,"4,142"
What is the place of birth of the director of film Sweepstakes (Film)?,TRUE,TRUE,TRUE,"3,277"
Where was the place of death of Shahnawaz Bhutto's mother?,FALSE,FALSE,FALSE,"4,240"
Where was the performer of song Égérie (Song) born?,FALSE,FALSE,FALSE,"4,966"
Who is the father-in-law of Duke William Of Mecklenburg-Schwerin?,TRUE,FALSE,FALSE,"4,350"
Are Gut (Crișul Alb) and Gepiș both located in the same country?,TRUE,TRUE,TRUE,562
Where was the place of death of Anne Devereux's husband?,FALSE,FALSE,FALSE,"3,847"
"Who is Sir William Gore, 3Rd Baronet's paternal grandfather?",TRUE,TRUE,FALSE,"2,779"
Which country Nizar Al-Mustafa's father is from?,FALSE,FALSE,FALSE,"8,314"
Where was the wife of Lou Breslow born?,TRUE,TRUE,TRUE,"3,761"
Who is the spouse of the director of film Ann Carver'S Profession?,FALSE,FALSE,FALSE,"11,373"
"Which film came out earlier, The Drover'S Sweetheart or Pigsty (Film)?",TRUE,TRUE,TRUE,"3,866"
What is the place of birth of the director of film Bhagirathi (Film)?,FALSE,FALSE,FALSE,"3,459"
"Which film came out earlier, Closely Watched Trains or Det Sande Ansigt?",TRUE,TRUE,TRUE,"4,713"
"Which film has the director who died earlier, Il Gaucho or Bomgay?",FALSE,TRUE,TRUE,"4,261"
Where was the place of death of Maria (Wife Of Boris I Of Bulgaria)'s husband?,FALSE,FALSE,FALSE,"5,869"
"Which film came out first, The Pyrammmid or Revolt Of The Praetorians?",FALSE,TRUE,FALSE,"3,504"
Are both directors of films La Morte Vivante and Stranger On Horseback from the same country?,FALSE,FALSE,FALSE,"10,582"
What is the cause of death of Constantia Eriksdotter's father?,TRUE,TRUE,TRUE,"5,584"
What nationality is the director of film Postmortem (1998 Film)?,FALSE,FALSE,FALSE,"5,631"
Which country Keōpūolani's husband is from?,FALSE,FALSE,FALSE,"8,829"
"Which film came out earlier, X-Paroni or Mi Novia Está De Madre?",FALSE,TRUE,FALSE,"2,674"
"Which film was released earlier, August Underground'S Penance or Vasantha Raagam?",TRUE,TRUE,TRUE,"6,052"
Who is the father-in-law of Hong Ra-Hee?,FALSE,FALSE,FALSE,"6,337"
Who is Isabella Of Bourbon's paternal grandfather?,FALSE,FALSE,FALSE,"4,501"
What is the date of death of Duleep Singh's father?,FALSE,FALSE,FALSE,"10,742"
What is the place of birth of the director of film Gunsmoke (Film)?,TRUE,FALSE,FALSE,"3,888"
"Who is the spouse of the performer of song Et Moi, Et Moi, Et Moi?",TRUE,TRUE,TRUE,"5,091"
"Who lived longer, Charles Wheatstone or Jean-Claude Lauzon?",TRUE,TRUE,TRUE,"8,386"
Where was the place of death of Thomas E. Noell's father?,TRUE,TRUE,TRUE,"1,917"
"Which film has the director died first, Our Agent Tiger or London Melody?",TRUE,TRUE,TRUE,"9,611"
Who is the paternal grandfather of Diego Fernández De Oviedo?,FALSE,FALSE,FALSE,"3,208"
Who is the child of the director of film The Trouble With Cali?,FALSE,FALSE,FALSE,"4,398"
Are Ding Yaping and Johann Christian Gustav Lucae of the same nationality?,FALSE,TRUE,FALSE,"1,863"
"Which country Dorothea Of Denmark, Duchess Of Mecklenburg's father is from?",FALSE,FALSE,FALSE,"3,211"
What is the cause of death of Heonjong Of Goryeo's father?,TRUE,FALSE,FALSE,"4,438"
Where did Mary Of Woodstock's mother die?,FALSE,FALSE,TRUE,"10,562"
Which award the director of film Tiramisu (2002 Film) earned?,FALSE,TRUE,FALSE,"3,401"
What is the date of death of the director of film Nallavan Vazhvan?,FALSE,FALSE,FALSE,"1,680"
"Who died first, Frederick Cleveland Morgan or Nathaniel Mclenaghan?",TRUE,TRUE,TRUE,"3,026"
Where did the director of film Balls Out (2014 Film) graduate from?,FALSE,FALSE,FALSE,"3,749"
"Which film whose director is younger, Cuchillos De Fuego or A Woman Has Killed?",TRUE,TRUE,FALSE,"2,697"
"Which film was released earlier, Moment Of Danger or The Ballad Of Josie?",FALSE,FALSE,FALSE,"4,003"
"Which magazine was established first, Rock Street Journal or De As?",FALSE,TRUE,TRUE,"2,425"
"Which film has the director who died first, The Piper'S Price or The Blonde From Singapore?",TRUE,FALSE,TRUE,"4,134"
Are H. H. Hunnewell and Bob Flanigan (Singer) of the same nationality?,FALSE,FALSE,FALSE,"5,918"
"When was Antoine Philippe, Duke Of Montpensier's mother born?",FALSE,FALSE,FALSE,"4,323"
"Which film has the director who died later, True To The Navy or No Trees In The Street?",TRUE,TRUE,TRUE,"7,162"
What is the place of birth of the director of film Ninamaninja Kalpadukal?,TRUE,TRUE,TRUE,"3,129"
"Which film came out earlier, Alkohol or Night Of Dark Shadows?",TRUE,TRUE,TRUE,"5,610"
"Which film whose director is younger, Many Tanks Mr. Atkins or Do Musafir?",FALSE,FALSE,FALSE,"1,138"
Are Revolt In The Big House and The Fugitive (1914 Film) from the same country?,TRUE,TRUE,TRUE,"1,241"
Where was the composer of film Consenting Adults (1992 Film) born?,TRUE,TRUE,TRUE,"2,516"
"Which film has the director who died earlier, Tiger In The Smoke or Contragolpe?",FALSE,FALSE,FALSE,"3,675"
Where was the place of death of the director of film Jail Yatra?,FALSE,FALSE,FALSE,"3,052"
"Which film came out first, F The Prom or The Comedians Of Comedy?",TRUE,FALSE,FALSE,"4,756"
"Which film has the director who was born first, Tombstone Rashomon or Waiting For The Clouds?",TRUE,TRUE,TRUE,"5,772"
"Which film has the director who was born earlier, Dhuen Ki Lakeer or Bomma Borusa?",TRUE,TRUE,TRUE,"4,828"
"Which film has the director who was born first, Perdón, Viejita or Smokey And The Bandit?",TRUE,TRUE,TRUE,"10,456"
Where did the director of film American Gothic (2007 Film) graduate from?,TRUE,TRUE,TRUE,"2,748"
Was Dudley Russell or Juan René Serrano born first?,TRUE,TRUE,TRUE,"4,526"
"Who was born first, Vytautas Straižys or Mirjam Polkunen?",TRUE,TRUE,TRUE,"3,620"
Where did Grand Duchess Elena Vladimirovna Of Russia's father die?,FALSE,TRUE,TRUE,"9,479"
Where was the director of film The Dinner (2013 Film) born?,FALSE,FALSE,FALSE,"3,592"
"Which magazine was established first, Women'S Suffrage Journal or Mostar (Magazine)?",TRUE,TRUE,TRUE,"3,828"
What is the place of birth of Carrie Watson Fleming's husband?,TRUE,TRUE,TRUE,"3,228"
"Which film has the director who died earlier, Mayor Muthanna or The Market Of Souls?",FALSE,FALSE,FALSE,"2,305"
"Do both films, The Glass Castle (1950 Film) and The Ferret (Film), have the directors who are from the same country?",FALSE,FALSE,FALSE,"4,201"
Where was the father of Muhammad Al-Nasir born?,FALSE,FALSE,FALSE,"4,417"
Where was the place of death of Enheduanna's father?,FALSE,FALSE,FALSE,"8,701"
"Which film whose director was born first, Solemn Promise or Tarzan The Magnificent?",FALSE,FALSE,FALSE,"4,580"
"Which film has the director who was born later, The Man Is Armed or Wolf Warrior?",TRUE,TRUE,TRUE,"3,774"
Who is the paternal grandfather of Trịnh Doanh?,FALSE,FALSE,FALSE,"3,718"
Where was the director of film Hellcats Of The Navy born?,FALSE,FALSE,FALSE,"4,854"
Where was the performer of song Feelin' Myself (Nipsey Hussle Song) born?,FALSE,FALSE,FALSE,"7,562"
"Which film whose director is younger, Winter Sleepers or Poveri Milionari?",TRUE,TRUE,TRUE,"3,065"
Who is the paternal grandfather of Bruno Ii Von Berg?,FALSE,FALSE,FALSE,"4,040"
Are The Other Half (2016 Film) and Spy Kids 2: The Island Of Lost Dreams from the same country?,TRUE,TRUE,TRUE,"6,771"
Where was the director of film 00 Schneider – Jagd Auf Nihil Baxter born?,FALSE,TRUE,FALSE,"3,140"
"Which film came out first, Una Prostituta Al Servizio Del Pubblico E In Regola Con Le Leggi Dello Stato or The Bag Man?",TRUE,TRUE,TRUE,"2,809"
"Are the movies The Hatton Garden Job and Carry On Cleo, from the same country?",TRUE,TRUE,TRUE,"10,991"
Who is the paternal grandfather of Dibyasambandh?,FALSE,FALSE,FALSE,"3,759"
"Who is Charles Willoughby, 10Th Baron Willoughby Of Parham's paternal grandmother?",FALSE,FALSE,FALSE,"3,293"
"Where does the director of film L'Arbre, Le Maire Et La Médiathèque work at?",FALSE,FALSE,FALSE,"9,453"
Where was the director of film Eisenstein In Guanajuato born?,FALSE,FALSE,FALSE,"3,945"
What is the place of birth of Sextus Barbour's father?,FALSE,FALSE,FALSE,"9,096"
What is the place of birth of the performer of song Ruleta (Inna Song)?,FALSE,FALSE,FALSE,"8,046"
Who is the father of the director of film A No-Hit No-Run Summer?,TRUE,TRUE,TRUE,"4,871"
"Who is Henri Ii, Duke Of Nemours's paternal grandfather?",FALSE,FALSE,FALSE,"5,577"
Who is Gisela Of Hungary's father-in-law?,FALSE,FALSE,FALSE,"11,622"
Who is the paternal grandmother of King Kang Of Zhou?,TRUE,FALSE,FALSE,"4,142"
"What is the date of death of Maria Isabel De Alcântara, Countess Of Iguaçu's mother?",FALSE,FALSE,FALSE,"6,374"
Who is the spouse of the director of film Rodney Steps In?,TRUE,TRUE,FALSE,"10,243"
